Rk,Player,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
75,Reggie Bullock\bullore01,7.5,15.6,0.2,0.3,0.5,.036,-2.7,-0.3,-3.0,-0.2
76,Trey Burke\burketr01,8.2,19.3,0.6,0.2,0.9,.129,0.7,-1.1,-0.5,0.1
77,Alec Burks\burksal01,9.5,23.8,1.9,1.1,2.9,.088,0.6,-0.7,-0.2,0.7
77,Alec Burks\burksal01,9.8,23.8,1.6,0.8,2.5,.085,0.7,-0.6,0.1,0.7
77,Alec Burks\burksal01,7.4,23.5,0.2,0.2,0.5,.103,-0.2,-1.5,-1.7,0.0
78,Deonte Burton\burtode02,11.3,19.3,-0.6,0.3,-0.3,-0.046,-5.5,-0.4,-5.8,-0.3
79,Jimmy Butler\butleji01,11.2,25.2,6.0,2.5,8.5,.219,4.0,1.3,5.2,3.4
80,Bruno Caboclo\cabocbr01,10.2,16.7,0.0,0.4,0.3,.070,-2.5,1.1,-1.4,0.0
80,Bruno Caboclo\cabocbr01,9.1,16.7,-0.1,0.3,0.2,.051,-3.3,0.8,-2.4,0.0
80,Bruno Caboclo\cabocbr01,18.4,16.0,0.1,0.1,0.1,.200,2.5,3.2,5.7,0.1
81,Kentavious Caldwell-Pope\caldwke01,9.8,14.8,2.0,1.8,3.8,.114,-0.8,0.5,-0.3,0.7
82,Vlatko Čančar\cancavl01,15.2,19.1,0.0,0.0,0.1,.069,-3.5,-1.1,-4.5,0.0
83,Clint Capela\capelca01,12.7,16.0,2.9,2.1,5.0,.186,1.1,0.4,1.5,1.1
84,DeMarre Carroll\carrode01,18.6,15.8,0.0,0.1,0.1,.026,-3.4,-1.1,-4.5,-0.1
84,DeMarre Carroll\carrode01,20.9,15.4,-0.2,0.1,-0.1,-0.038,-6.0,-1.1,-7.1,-0.2
84,DeMarre Carroll\carrode01,15.8,16.4,0.2,0.1,0.2,.116,0.3,-1.1,-0.8,0.0
85,Jevon Carter\carteje01,12.6,13.9,0.3,0.7,1.1,.068,-1.6,1.0,-0.6,0.3
86,Vince Carter\cartevi01,9.4,16.6,-0.6,0.4,-0.2,-0.011,-3.1,-1.2,-4.3,-0.5
87,Wendell Carter Jr.\cartewe01,14.9,16.4,1.7,1.6,3.3,.127,-2.1,-0.3,-2.4,-0.1
88,Michael Carter-Williams\cartemi01,14.6,18.4,0.7,1.1,1.9,.116,-1.3,1.7,0.4,0.5
89,Alex Caruso\carusal01,13.6,13.9,0.6,1.6,2.2,.103,-2.4,2.4,0.1,0.5
90,Willie Cauley-Stein\caulewi01,10.8,14.4,1.5,1.5,3.0,.129,-1.2,1.7,0.5,0.7
90,Willie Cauley-Stein\caulewi01,11.0,14.4,1.0,1.2,2.2,.113,-1.5,1.6,0.1,0.5
90,Willie Cauley-Stein\caulewi01,9.3,14.7,0.5,0.3,0.8,.230,1.0,2.3,3.2,0.2
91,Tyson Chandler\chandty01,25.2,6.0,0.3,0.3,0.6,.130,-2.5,1.1,-1.4,0.0
92,Wilson Chandler\chandwi01,15.0,13.0,-0.1,0.9,0.8,.050,-3.9,1.0,-2.9,-0.2
93,Joe Chealey\chealjo01,20.2,13.2,-0.2,0.0,-0.1,-0.189,-14.3,1.7,-12.6,-0.1
94,Zylan Cheatham\cheatzy01,37.5,10.5,-0.1,0.0,-0.1,-0.080,-10.2,0.1,-10.2,-0.1
95,Chris Chiozza\chiozch01,17.5,16.2,0.1,0.3,0.4,.077,-0.8,1.6,0.8,0.2
95,Chris Chiozza\chiozch01,20.9,14.5,-0.1,0.1,0.0,-0.002,-3.6,2.1,-1.4,0.0
95,Chris Chiozza\chiozch01,14.8,17.9,0.3,0.1,0.4,.154,1.8,1.1,3.0,0.2
96,Marquese Chriss\chrisma01,14.7,19.0,2.1,1.3,3.4,.136,0.1,0.5,0.6,0.8
97,Gary Clark\clarkga01,4.5,10.9,0.5,0.4,0.9,.098,-1.1,-1.1,-2.2,0.0
97,Gary Clark\clarkga01,3.1,12.5,0.4,0.2,0.6,.126,0.4,-0.9,-0.5,0.1
97,Gary Clark\clarkga01,6.5,9.3,0.1,0.2,0.3,.070,-2.7,-1.3,-3.9,-0.1
98,Brandon Clarke\clarkbr01,9.3,19.0,3.1,1.3,4.4,.192,2.8,0.7,3.5,1.5
99,Jordan Clarkson\clarkjo01,9.1,25.5,2.6,0.9,3.5,.110,2.7,-1.1,1.6,1.4
99,Jordan Clarkson\clarkjo01,9.7,25.9,1.4,0.1,1.5,.108,4.1,-1.4,2.7,0.8
99,Jordan Clarkson\clarkjo01,8.7,25.3,1.2,0.8,2.0,.112,1.6,-0.9,0.7,0.6
100,Nicolas Claxton\claxtni01,13.6,14.8,0.3,0.2,0.5,.124,-0.7,0.0,-0.7,0.1
101,Chris Clemons\clemoch01,11.6,24.0,0.1,0.2,0.2,.046,0.4,-1.7,-1.3,0.1
102,Antonius Cleveland\clevean01,12.7,15.3,-0.1,0.0,0.0,-0.074,-8.9,0.7,-8.3,0.0
103,Amir Coffey\coffeam01,8.0,15.8,-0.1,0.1,0.0,.009,-5.7,-1.1,-6.8,-0.1
104,John Collins\collijo01,10.1,22.7,3.8,1.1,4.9,.174,3.7,-0.7,3.1,1.7
105,Zach Collins\colliza01,21.7,13.6,0.1,0.0,0.1,.045,-1.1,-0.7,-1.7,0.0
106,Mike Conley\conlemi01,12.4,23.0,1.0,1.0,2.1,.085,0.4,-0.4,0.0,0.6
107,Pat Connaughton\connapa01,14.5,11.9,0.9,2.1,3.0,.130,-1.1,1.6,0.5,0.7
108,Quinn Cook\cookqu01,12.4,20.8,-0.1,0.4,0.4,.043,-2.3,-1.0,-3.3,-0.1
109,Tyler Cook\cookty01,7.3,16.7,0.2,0.0,0.2,.244,3.0,-0.6,2.4,0.0
110,Robert Covington\covinro01,11.8,17.4,0.9,2.4,3.3,.085,-1.0,1.1,0.1,1.0
110,Robert Covington\covinro01,12.0,17.8,0.5,1.7,2.3,.078,-1.2,1.2,0.0,0.7
110,Robert Covington\covinro01,11.2,16.1,0.3,0.7,1.0,.108,-0.3,0.8,0.5,0.3
111,Allen Crabbe\crabbal01,8.5,12.7,-0.2,0.1,-0.1,-0.007,-3.7,-1.5,-5.3,-0.5
111,Allen Crabbe\crabbal01,7.5,12.7,0.0,0.1,0.1,.008,-3.0,-1.1,-4.1,-0.3
111,Allen Crabbe\crabbal01,12.5,12.5,-0.2,0.0,-0.2,-0.068,-6.6,-3.2,-9.9,-0.3
112,Torrey Craig\craigto01,9.0,12.2,0.8,0.9,1.7,.095,-2.4,0.1,-2.3,-0.1
